অঁরি	anri:1	aunry:1	onry:1	ori:1
অংকিত	ankito:3	onkito:3	angkito:1	ankit:1
অংকুশ	angkush:1	ankush:1	ongkush:1	onkush:1
অংকের	anker:2	ongker:1	onker:1
অংশ	ongsho:20	angsho:2	angsha:1	ansa:1
অংশই	angshoi:2	ongshoi:2	angshoyi:1	ongshoyi:1
অংশও	angshoo:2	angshowo:1	ongshoo:1	ongshowo:1
অংশকে	ongshoke:2	anshake:1	aungshoke:1	ongshokey:1
অংশকেই	angshakei:1	ansokei:1	ongshokei:1
অংশগুলি	anshoguli:2	ongshoguli:1
অংশগুলির	angshagulir:2	ongshogulir:2	angshogulir:1
অংশগুলো	angshogulo:2	aungshogulo:1	ongshogulo:1
অংশগুলোর	angshagulor:2	angshogulor:2	ongshogulor:2	anshogoolor:1
অংশগ্রহণ	ongshogrohon:6	angshagrahan:1	angshagrohon:1	angshograhan:1
অংশগ্রহণকারী	angshagrahankaari:1	angshagrahankari:1	angshagrohankari:1	angshograhankari:1
অংশগ্রহণকারীদের	angshograhankarider:2	ongshogrohonkarider:2	angshagrahankarider:1	angshagrajankarider:1
অংশগ্রহণকে	angrsagrahanke:1	angrsograhanke:1	angshagrahanke:1	angshagrohanke:1
অংশগ্রহণে	angshagrahane:1	angshagrohane:1	angshograhane:1	angshograhone:1
অংশগ্রহণের	angshagrahaner:1	angshogrohoner:1	angsogrohoner:1	ansogrohaner:1
অংশগ্রহন	ongshogrohon:2	angshogragon:1	angshograhon:1	angshogrohon:1
অংশগ্রহনকারী	angsagrohonkari:1	angshogrohonkari:1	angsogrohonkari:1	anshograhankari:1
অংশগ্রহনকারীদের	angshagrahankaarider:1	angshagrahankarider:1	angshogrohonkaareeder:1	angshogrohonkaarider:1
অংশগ্রহনের	ongshogrohoner:2	angsogrohone:1	anshograhone:1	onshogrohoner:1
অংশটা	angshota:2	ongsota:2	angsata:1	angshata:1
অংশটি	angshoti:1	angsoti:1	anshotee:1	anshoti:1
অংশটির	angshoti:1	angshotir:1	angsotir:1	ongshoti:1
অংশটুকু	angshatuku:2	angshotuku:2	ongshotuku:1	ongsotuku:1
অংশটুকুই	angsotukui:1	ongshotuku:1	ongshotukui:1
অংশবিশেষ	angsabishes:1	angshabishesh:1	ongshobisesh:1	ongsobises:1
অংশবিশেষের	ongshobishesher:2	angshabishesher:1	aungshobishesh:1	ongshobisheser:1
অংশীদার	angshidar:2	ansheedar:2	anshidar:2	angseedaar:1
অংশীদারদের	angshidarder:2	anshidarder:1	ongshidarder:1
অংশীদারি	ongshidari:3	angshidari:1	ongsheedaree:1	ongshidaari:1
অংশীদারিত্ব	angshidaratta:1	angshidaritto:1	angshidaritwa:1	angshidaritwo:1
অংশীদারিত্বের	angshidaritter:1	angshodaritwer:1	ongshidaritter:1	ongsiidaritter:1
অংশুমান	ongshuman:2	angsuman:1	ongshumaan:1
অংশে	angshe:1	anshe:1	ongshe:1
অংশেই	angshei:2	ongshei:1
অংশের	angsher:1	ongser:1	ongsher:1
অংসখ্য	asankhya:1	asankhyo:1	asnkho:1	ongsokhyo:1
অক	ak:1	aok:1	ok:1
অকটেন	octane:2	akten:1
অকট্যাল	octal:3
অকল্যাণকর	akalyankar:2	akallankar:1	akollankar:1	akolyankar:1
অকল্যান্ড	auckland:2	akalyanda:1	aqalyanda:1	aucqland:1
অকল্যান্ডে	aucklandey:1	aukland:1	oakland:1	okland:1
অকল্যান্ডের	oaklander:2	aucklander:1	awklander:1
অকস্মাৎ	akasmat:1	akasmatt:1	okosmat:1
অকারণে	akarane:3	akaraney:1	akarone:1	akaroney:1
অকার্যকর	akarjokar:2	akarjakar:1	okarjokor:1	okarzokor:1
অকাল	okal:2	akal:1	okaal:1	okkal:1
অকালবোধন	akalbodhon:3	akalbodhan:2	akaalbodhon:1
অকালে	okale:2	akaale:1	akale:1	okaale:1
অকুন্ঠ	akuntha:2	akuntho:2	akunthho:1
অকৃতকার্য	akreetokarjo:1	akritakarja:1	akritakarjo:1	okritakarja:1
অকেজো	okejo:2	akejo:1	okkejoo:1	ookejo:1
অক্টোপাসের	octopuser:2	oktopasher:1
অক্টোবর	october:2	aktobar:1	aqtobar:1	octabar:1
অক্টোবরে	octobare:1	octobere:1	oktobore:1
অক্টোবরের	octoberer:2	oktoborer:1
অক্লান্ত	aklanto:2	oklanto:2	aklanta:1
অক্ষ	okkho:2	akkha:1	akkho:1
অক্ষত	akkhato:2	akkhata:1	okkhoto:1
অক্ষম	akkham:2	akkhom:2	okkhom:1
অক্ষমতা	akkhamata:2	akkhamota:1	akkhomota:1	okkhomota:1
অক্ষমতার	akkhamatar:3	okkhomotar:1
অক্ষর	akkhar:3	okkhor:1
অক্ষরকে	akkharke:3	akkharkey:1	aksharke:1	okkhorke:1
অক্ষরগুলি	okkhorguli:2	akkharguli:1	akshorguli:1	aksorguli:1
অক্ষরগুলো	okkhorgulo:2	akkhargulo:1	akshorgulo:1	aksorgulo:1
অক্ষরটি	akkharti:3	akkhorti:1	aksarti:1
অক্ষরে	akkhare:2	akkharey:1	akkhore:1	akkhorey:1
অক্ষরের	akkharer:2	akkhorer:1	okkhorer:1
অক্ষশক্তির	akhhosoktir:1	akkhashaktir:1	akkhoshaktir:1	okhhosoktir:1
অক্ষাংশ	akhhangsho:1	akkhangsho:1	akkhansho:1	okhhangsho:1
অক্ষিগোলক	akkhigolok:2	akhhigolok:1	okhhigolok:1
অক্ষুণ্ণ	akkhunno:2	akhhunno:1	okhhunno:1
অক্ষুণ্ন	akkhunno:2	akkhunna:1	okkhoonon:1	okkhunon:1
অক্ষুন্ন	okkhunno:2	akshoonno:1	akshunno:1	okkhoonno:1
অক্ষের	akher:1	akkher:1	akser:1	aksher:1
অক্সফোর্ড	oxford:4	aksaforda:1	aksapharda:1	aksaphoorda:1
অক্সফোর্ডে	oxforde:2	oxfordey:2	auxfordey:1
অক্সফোর্ডের	oxforder:2	okshforder:1	okshphorder:1
অক্সাইড	aksaida:1	akseda:1	akshaida:1	aqsaida:1
অক্সাইডের	oksaaider:1	okshaaider:1	okshaider:1	oxideayer:1
অক্সিজেন	oxygen:3	akshijena:1	aksijeena:1	aksijena:1
অক্সিজেনের	aksijener:1	oksijener:1	oksizener:1	oxigener:1
অখণ্ড	akhando:2	akhanda:1	okhondo:1
অখণ্ডতা	akhandata:2	okhondota:2	akhandota:1
অখন্ড	akhando:2	aukhando:1
অখন্ডতা	akhandota:2	akhandotaa:1	aukhandota:1	aukhondota:1
অখাদ্য	akhadya:1	aukhaddo:1	aukhadyo:1	okhadyo:1
অখিল	akhil:2	okhil:1
অখুশি	akhushi:3
অখ্যাত	akhyato:2	akhyata:1	okhyato:1	okkhyato:1
অগণিত	agonito:2	agnit:1
অগভীর	agahir:1	agovir:1	ogobhir:1	ogovir:1
অগস্ত্য	agastya:2	agosto:1	agostyo:1
অগাধ	agadh:2	agaadh:1
অগাস্ট	august:4	agashta:1	agasta:1	augusht:1
অগাস্টা	agashta:1	agasta:1	augushta:1	augusta:1
অগাস্টিন	augustin:2	augusteen:1	augustine:1
অগুরুত্বপূর্ণ	aguruttopurno:2	agurutwapurno:2	aguruttopuurno:1	agurutwapurna:1
অগোচর	agochar:1	oggocor:1	ogochor:1	ogocor:1
অগোচরে	agochare:2	agocharey:2	agochore:1	agochorey:1
অগোছালো	agochalo:1	agochhaalo:1	agochhalo:1	ogochalo:1
অগ্নি	ogni:3	agnee:1	agni:1	ognee:1
অগ্নিকন্যা	agnikanna:1	agnikanya:1	agnikonna:1	agnikonya:1
অগ্নিকাণ্ডে	agnikande:2	ognikande:2	agnikandey:1	ognikaande:1
অগ্নিকাণ্ডের	ognikander:3	agnikander:2	ognikaander:2	agnikaander:1
অগ্নিকান্ডে	agnikande:2	agnikandey:1	ognikaande:1	ognikande:1
অগ্নিকুণ্ডে	ognikunde:3	agnikunde:2	agnikoonde:1	ognikoonde:1
অগ্নিকে	agnike:2	agnikey:1	augneeke:1	ognike:1
অগ্নিযুগের	ognijuger:3	agnijooger:1	agnijuger:1	ognijooger:1
অগ্নিশর্মা	ognisorma:2	agnisharma:1
অগ্নিশিখা	ognisikha:2	agnishikha:1
অগ্নিসংযোগ	agneesongjog:1	agnisangjog:1	agnisanjog:1	agnisongjog:1
অগ্রগণ্য	ogrogonno:2	agraganno:1	agragonno:1	agrogonno:1
অগ্রগতি	agrogoti:3	ogrogoti:2	agrogotee:1
অগ্রগতিতে	agrogotite:2	ogragotite:2	ogrogotite:2	aggragatite:1
অগ্রগতির	agragotir:2	agargatir:1	aggragatir:1	aggragotir:1
অগ্রগামী	agrogami:3	agragami:2	ogrogami:2	aggragami:1
অগ্রজ	agraj:1	agraz:1	agrojo:1	ogroj:1
অগ্রণী	agroni:2	ogroni:3
অগ্রদূত	ogrodut:3	agradut:1	agrodoot:1	agrodut:1
অগ্রন্থিত	agranthito:2	agronthito:2	ogronthito:2	agranthita:1
অগ্রবর্তী	agraborti:2	agroborti:2	ogroborti:2	agrabarti:1
অগ্রভাগ	agrabhaag:1	agrabhag:1	agravag:1	agrobhaag:1
অগ্রভাগে	agrabhage:1	agravage:1	agrobhage:1	agrovage:1
অগ্রযাত্রা	agrajatra:2	ogrojatra:2	agrayatra:1	agrazatra:1
অগ্রযাত্রাকে	agrojatrake:3	agrajatrake:2	ogrojatrake:2	agrayatrake:1
অগ্রযাত্রার	agrojatrar:3	agrajatrar:2	ogrojatrar:2	agrayatrar:1
অগ্রসর	agrasar:2	agrosor:3	ogrosor:2	agrasor:1
অগ্রসরতার	agrasaratar:1	agrasarotar:1	agrasorotaay:1	agrosaratar:1
অগ্রসরমান	ogrosorman:2	agrasarman:1	agrosarman:1	agrosormaan:1
অগ্রহণযোগ্য	agrohonjoggo:2	ogrohonjoggo:2	agrahanjogya:1	agrahanyogya:1
অগ্রাধিকার	agradhikar:2	ogradhikar:2
অগ্রাহ্য	agrahjya:1	agrahjyo:1	agrajhho:1	ograjhho:1
অঘোর	aghor:2	oghor:2
অঙ্ক	anko:2	onko:2	anka:1
অঙ্কন	ankan:2	ankon:2	onkon:2	onkan:1
অঙ্কনে	ankane:2	ankone:2	onkane:1	onkone:1
অঙ্কনের	ankaner:2	ankoner:2	onkoner:2	onkaner:1
অঙ্কিত	ankit:2	ankeet:1	ongkit:1	onkeet:1
অঙ্কিতা	ankita:2	ongkita:2	angkita:1	ankeeta:1
অঙ্কুর	angookor:1	angukor:1	ankoor:1	ongookor:1
অঙ্কুরিত	angookorit:1	angukorit:1	ankurita:1	ankurito:1
অঙ্কুরোদগম	ankoorodgom:1	ankurodgom:1	ongkurodgom:1	onkoorodgom:1
অঙ্কের	onker:3	anker:2
অঙ্গ	ango:2	ongo:3
অঙ্গন	angan:3	angon:2	ongon:1
অঙ্গনে	ongone:2	angane:1	angone:1	onggone:1
অঙ্গভঙ্গি	angobhongi:2	angovongi:2	ongobhongee:1	ongovongee:1
অঙ্গভঙ্গিতে	angobhongite:2	angovongite:2	ongobhongeete:1	ongovongeete:1
অঙ্গরাজ্য	angorajjo:2	angorajyo:1	ongorajjo:1	ongorajyo:1
অঙ্গরাজ্যে	angarajje:1	angarajjer:1	angarajye:1	angorajjer:1
অঙ্গরাজ্যের	angarajjer:2	angarajyer:1	angorajjer:1	ongorajjer:1
অঙ্গার	angar:2	ongar:2	angaara:1	angaaraa:1
অঙ্গিকার	ongikar:2	angikaar:1	angikar:1	onggikar:1
অঙ্গীকার	angikar:1	onggiikar:1	ongikaar:1	ongikar:1
অঙ্গীভূত	angeebhuto:1	angivuto:1	ongeebhuto:1	onggiibhuto:1
অঙ্গুলী	anguli:2	onguli:2	onggulii:1
অঙ্গে	ange:2	onge:2	onggay:1
অঙ্গের	onger:3	anger:3
অচল	achol:3	ochol:3	achal:1	ochal:1
অচিরেই	achirei:3	ochirei:3	acheerei:2	ocheerei:2
অচেতন	ocheton:3	acheton:2	aceton:1	achetan:1
অচেনা	ochena:3	achena:2	acena:1	ocena:1
অচৈতন্য	achoitonya:2	achaitanya:1	achoitanya:1	ochoitanya:1
অজন্তা	ajaanta:1	ajanta:1	aujanta:1	awejonta:1
অজন্তার	ajantar:3	awejontar:1	ojontar:1
অজস্র	ajasra:2	ojosro:2	ajashra:1	ajasro:1
অজানা	ajana:1	aujana:1	awejana:1	ojana:1
অজানাকে	ajanake:2	ojanake:2
অজান্তে	ajante:3	ajaante:1	ojante:1
অজান্তেই	ojantei:2	ajantei:1	ojanteyei:1
অজিত	ajit:2	ajeet:1	aujit:1	ojit:1
অজিতের	ojiter:2	ajiter:1
অজু	oju:3	ajoo:1	aju:1	aweju:1
অজুহাত	ajuhat:2	ojuhat:2	ajuhath:1
অজৈব	ojoibo:2	ajoeebo:1	ajoibo:1	aujoibo:1
অজ্ঞাত	agyato:1	oggato:1	oggayto:1
অজ্ঞাতনামা	agyatanama:1	agyatonama:1	augyatonama:1	awegyatonama:1
অজ্ঞাতসারে	agyatosare:1	auggatosharey:1	aweggatosharey:1	oggatosarey:1
অজ্ঞাতে	agyate:1	auggate:1	aweggyate:1	oggatey:1
অজ্ঞান	oggan:2	aggan:1	agyan:1	oggyan:1
অজ্ঞানতার	agganatar:1	agyanatar:1	agyanotar:1	augganotar:1
অঞ্চল	anchol:5	anchal:1	aunchal:1	onchal:1
অঞ্চলই	anchalei:1	oncholei:1	oncholyi:1	oncoli:1
অঞ্চলও	anchalo:1	auncholo:1	oncholo:1
অঞ্চলকে	oncholke:2	anchalke:1	anchalkey:1	ancholke:1
অঞ্চলগুলির	anchalgulir:2	ancholgulir:2	oncholgulir:2	anchalgoolir:1
অঞ্চলগুলো	anchalgulo:2	oncholgulo:2	anchalgoolo:1	anchalgula:1
অঞ্চলগুলোতে	oncholgulote:3	anchalgulote:2	ancholgoolote:1	ancholgulote:1
অঞ্চলগুলোর	anchalgulor:2	oncholgulor:2	anchalgular:1
অঞ্চলটি	ancholti:3	oncholti:2	anchalti:1	ancholtee:1
অঞ্চলটিকে	ancholtike:2	anchaltike:1	anchaltikey:1	ancholtikey:1
অঞ্চলটিতে	ancholtite:2	oncholtite:2	anchaltite:1	anchaltitey:1
অঞ্চলটির	ancholtir:2	oncholtir:2	anchaltir:1
অঞ্চলভিত্তিক	ancholvittik:3	anchalbhittik:2	anchalvittik:2	ancholbhittik:2
অঞ্চলভেদে	anchalbhede:1	ancholbhede:1	ancholvede:1	oncholbhede:1
অঞ্চলসমূহ	anchalsamuha:1	anchalsamuho:1	ancholsomuho:1	oncholshomuh:1
অঞ্চলসমূহে	anchalsamuhey:1	ancholsomuhe:1	oncholshomuhe:1	oncholsomuhe:1
অঞ্চলসমূহের	anchalsamuher:1	ancholsomuher:1	oncholshomuher:1	oncholsomuher:1
অঞ্চলসহ	anchalsaha:1	anchalsaho:1	ancholsaha:1	ancholsaho:1
অঞ্চলে	onchole:11	anchole:2	anchale:1	oncole:1
অঞ্চলেই	ancholei:2	anchalei:1	oncolei:1
অঞ্চলেও	ancholeo:2	anchaleo:1	oncholeo:1	oncoleo:1
অঞ্চলের	oncholer:15	anchaler:2	ancholer:1	oncoler:1
অঞ্জন	onjon:2	anjan:1	anjjan:1
অঞ্জলি	anjali:3	anjoli:1	onjali:1	onjoli:1
অঞ্জলী	anjali:1	anjolee:1	anzolee:1	onjolee:1
অটবির	otobir:2	atbir:1	otbir:1
অটল	otol:2	atal:1
অটিস্টিক	atishtika:1	atistika:1	atistiqa:1	autishtic:1
অটুট	otut:2	atut:1
অটো	auto:6	oto:3	ata:1	ato:1
অটোক্যাড	autocad:3	otoked:1
অটোমান	otoman:2	atamana:1	atomana:1	atoomana:1
অটোমেশন	atameshana:1	atomeeshana:1	atomesana:1	atomeshana:1
অটোমোবাইল	automobile:3	otomobail:1
অটোম্যান	automan:3
অটোরিকশা	autorickshaw:2	atoriksha:1	autoriksha:1
অটোরিক্সা	autoreeksha:1	autoricksha:1	autorickshawa:1	autoriksa:1
অট্টালিকা	attalika:2	ottalika:2	aattaalika:1	aattaalikaa:1
অডিও	audio:4	odio:2	adioo:1	audioo:1
অডিট	audit:3	adita:1	odit:1
অডিটর	auditor:4	aditara:1	auditar:1	auditer:1
অডিটোরিয়াম	aditariyama:1	aditooriyama:1	aditoriyama:1	auditarium:1
অডিশন	audition:4	adishana:1	auditian:1
অডিশনে	auditione:2	odishone:1
অডিশনের	auditioner:2	odishoner:1
অড্রে	adre:2	audrey:1
অণু	anu:2	onu:1
অণুগুলো	anugulo:2	anugolo:1	onugulo:1
অণুগুলোর	anugulor:3	onugulor:2	anugoolor:1	onugoolor:1
অণুতে	anute:2	anoote:1	onoote:1	onute:1
অণুর	anur:2	onur:2	anoor:1	onoor:1
অতঃপর	atopor:2	atahpar:1	atohpar:1	otohpor:1
অতএব	ataeb:1	atoeb:1	otoeb:1	otoyeb:1
অতর্কিত	otorkito:2	atarkito:1	awtorkito:1
অতর্কিতে	atarkitey:1	atorkite:1	atorkitey:1	attorkite:1
অতি	oti:3	ati:1
অতিকষ্টে	atikashte:1	atukashte:1	otikostey:1
অতিক্রম	atikram:2	otikrom:1
অতিক্রমকালে	atikramakale:1	atikramkale:1	otikromkaley:1
অতিক্রমের	otikromer:2	atikramer:1	oteekromer:1	otikkromer:1
অতিক্রান্ত	atikranto:2	atikranta:1	otikranto:1
অতিথি	atithi:2	otithi:1
অতিথিদের	otithider:3	atithider:1
অতিপ্রাকৃত	atiprakrit:2	atiprakrito:1	otiprakrito:1
অতিপ্রাকৃতিক	atiprakritik:2	otiprakritik:1
অতিবাহিত	atibahito:3	atibahita:2	otibahito:1
অতিবৃষ্টি	atibrishti:2	ativrishti:1	otibrishti:1	otibristi:1
অতিবেগুনি	atibeguni:2	otibeguni:2	atibegoni:1
অতিবেগুনী	atibeguni:2	otibeguni:2	atibegoni:1
অতিমাত্রার	atimatrar:2	atimatray:1	otimatrar:1
অতিরঞ্জিত	atiranjito:3	atiranjita:1	otiranjita:1	otiranjito:1
অতিরিক্ত	atirikto:2	otirikto:2	atirikta:1	otiiricto:1
অতিলৌকিক	atiloukik:3	otiloukik:1	otilukik:1
অতীত	otit:3	ateet:2	atit:2	oteet:2
অতীতকালে	atitkale:2	ateetkaale:1	ateetkale:1	atitkaale:1
অতীতকালের	atitkaler:2	ateetkaaler:1	ateetkaler:1	atitkaaler:1
অতীতকে	atitke:1	otiitke:1	otitke:1	otitkey:1
অতীতে	otite:2	ateete:1	atite:1	oteete:1
অতীতেও	otiteo:3	atiteo:2	ateeteo:1	oteeteo:1
অতীতের	otiter:3	otiiter:1
অতীব	otibo:2	atib:1
অতীশ	otish:2	atish:1
অতুল	atul:2	otul:2	otool:1
অতুলপ্রসাদ	atulprasad:3	atulprashaad:1	otulprosad:1
অতো	ato:2	oto:2
অতোটা	atota:2	otota:2
অত্যধিক	atyadhik:2	attadhik:1	atyodheek:1	atyodhik:1
অত্যন্ত	atyanto:3	atyonto:2	otyonto:2
অত্যাচার	atyachar:2	attachar:1	atyachaar:1	ottachar:1
অত্যাচারিত	atyacharito:2	otyacharito:2	attacharito:1	atyacarito:1
অত্যাচারী	atyachari:2	otyachari:2
অত্যাচারে	atyachare:2	otyachare:1	otyacharey:1
অত্যাচারের	atyacharer:1	auttacharer:1	ottacharer:1	otyacharer:1
অত্যাধিক	atyadhik:2	otyadhik:2
অত্যাধুনিক	atyadhunik:2	otyadhunik:2
অত্যান্ত	otyanto:3	atyanto:2	atyaanto:1	atyanta:1
অত্যাবশ্যক	atyabashyak:2	atyabashyok:2	attabashshak:1	attabashshok:1
অত্র	atra:2	otro:2	atro:1
অথচ	othocho:2	athacho:1	athocho:1
অথবা	othoba:3	athoba:1	athobaa:1	authoba:1
অথরিটি	authority:4	athariti:1	autharity:1	authoriti:1
অদক্ষ	odokkho:2	adakkha:1
অদক্ষতা	odokkhota:2	adakkhata:1
অদক্ষতার	adakkhatar:1	odokkhotar:1	odokshotar:1
অদম্য	odomyo:2	adamyo:1
অদলবদল	adalbadal:1	adolbadol:1	odolbodol:1
অদিক	adik:2	awdik:1	odik:1
অদিতি	aditi:2	awditi:1	oditi:1
অদুদ	odud:2	adud:1
অদুরে	odure:2	oddure:1	odoore:1	odurey:1
অদূরদর্শী	adooradorshee:1	aduradarshee:1	adurodarshi:1	oduradarshee:1
অদূরে	adure:1	adurei:1	odurey:1
অদৃশ্য	adrishya:2	odrishyo:1
অদ্বৈত	aditya:1	adoito:1	adwoito:1	odito:1
অদ্ভুত	adbhut:2	advut:2	advoot:1
অদ্ভুতভাবে	adbhutbhabe:2	advutbhabe:2	advutvabe:2	adbhutbhabey:1
অদ্যাবধি	odyabodhi:2	adyabadhi:1	adyabdhi:1
অধঃক্ষেপ	odhokkhep:2	adohkkhep:1	odhohkkhep:1
অধঃপতন	adohpatton:1	audhopauton:1	odhohpauton:1	odhopoton:1
অধর	adhar:2	adhor:2	odhor:1
অধস্তন	odhoston:2	adhastan:1	adhostan:1	adhoston:1
অধার্মিক	adharmik:2	adharmeek:1	odharmik:1
অধিক	adhik:2	odhik:2
অধিকতর	adhiktar:2	adhiktaro:2	odhikotor:1
অধিকন্তু	adhikantu:2	odhikontu:1
অধিকরণ	adhikaron:2	odhikaron:1	odhikoron:1
অধিকর্তা	adhikarta:2	odhikarta:1	odhikorta:1
অধিকহারে	adhikhare:2	odhikharey:1
অধিকাংশ	adhikangsho:4	adhikansho:2	odhikangsho:1
অধিকাংশই	adhikanshoi:2	odhikangshoi:1
অধিকাংশকেই	adhikangshokei:2	adhikangshakei:1	adhikanshakei:1
অধিকাংশের	adhikansher:2	adhikangsher:1
অধিকার	odhikar:5	adhikar:3	adheekar:1
অধিকারকে	adhikarke:2	adhikarkey:1	odheekarke:1	odhikarkey:1
অধিকারিণী	adhikarinee:2	adheekareeni:1	adhikarini:1	odhikarinee:1
অধিকারিনী	adhikarinee:2	odhikarinee:2	ahikarinee:1
অধিকারী	odhikari:4	adhikaree:2	adhikary:1	odhikaree:1
অধিকারীদের	adhikarider:3	odhikarider:1
অধিকারীর	adhikarir:2	adhikaarir:1	adhikari:1	odhikaarir:1
অধিকারে	adhikarey:2	adhikare:1	odhikaare:1	odhikare:1
অধিকারের	odhikarer:3	adhikarer:1	odhikaarer:1
অধিকৃত	adhikrita:2	adhikrito:2	odhikrito:2	odhikrita:1
অধিক্ষেত্র	adhikhetra:1	adhikhetro:1	adhikshetra:1	adhikshetro:1
অধিগ্রহণ	adhigrohon:2	adhigrahan:3	adhigrahon:1	adhigrohan:1
অধিগ্রহণে	odhigrohone:2	adhigrahone:1
অধিগ্রহণের	adhigrahoner:2	adhigrahaner:1	adhigrohaner:1	adhigrohoner:1
অধিদপ্তর	odhidoptor:2	adhidaptar:1	adhidoptor:1
অধিদপ্তরে	odhidoptore:2	adhidaptarey:1	adhidoptore:1	adhidoptorey:1
অধিদপ্তরের	adhidoptorer:2	odhidoptorer:2	adhidaptarer:1
অধিনস্ত	adhinasta:1	adhinasto:1	odhinasto:1	odhinisto:1
অধিপতি	adhipoti:2	adhipotee:1	odhipoti:1
অধিবাসী	odhibashi:4	odhibasi:2	adhibasee:1	adhibashi:1
অধিবাসীগণ	adhibasigon:2	adhibashigon:1	adhibasigan:1	odhibasigan:1
অধিবাসীদের	odhibashider:2	adhibasider:3	adhivasider:1	odhibasider:1
অধিবাসীরা	adhibasira:3	adhivasira:1	odhibasira:1	odhinbasira:1
অধিবিদ্যা	adhibidya:2	odhibidya:2	oddhibidya:1	odheebidya:1
অধিবেশন	adhibeshan:1	adhibeshon:1	odhibeshon:1	odhibeson:1
অধিবেশনে	adhibeshaney:1	adhiveshaney:1	odhibeshoney:1	odhibesone:1
অধিবেশনের	odhibeshoner:2	adhibeshaner:1	odhibesoner:1
অধিভুক্ত	odhivukto:2	adhibhukta:1	adhibhukto:1	adhivukta:1
অধিষ্ঠান	adhishthan:1	adhistan:1	adhisthan:1	odhishthan:1
অধিষ্ঠিত	adhisthito:2	odhishthito:2	adhishthita:1	adhishthito:1
অধীত	adhit:1	adhito:1	odhit:1	odhito:1
অধীন	adhin:2	odhin:1
অধীনস্থ	odhinosto:3	adhinastho:2	adhinastha:1	adhinasto:1
অধীনে	odhine:6	adhine:2	adhiney:2	odhiney:1
অধীনেই	adhinei:2	adhineyi:1	odhineyi:1
অধীর	adhir:3	adheer:1	odbhut:1
অধুনা	adhuna:2	odhuna:2
অধুনালুপ্ত	adhunalupto:3	adhunalupta:1
অধুনিক	adhunik:3
অধোগতি	adhogati:2	odhogoti:2	adhogoti:1	odhogotee:1
অধ্যক্ষ	adhakkho:1	adhaksh:1	adhyokho:1	oddhokkho:1
অধ্যক্ষের	adhakkher:2	adhyakkher:1	adhyakser:1
