آؤ	aao:3	aaoo:1	aau:1	aaw:1
آؤٹ	out:6	aawat:1	aut:1
آؤں	aaun:2	aao:1	aaon:1	aaoo:1
آئ	aai:2	aayi:2	aaye:1	ayi:1
آئر	aaur:1	aayer:1	aer:1	air:1
آئرس	iris:2	aairis:1	aares:1	aires:1
آئرش	irish:2	aayersh:1	aayirsh:1	airesh:1
آئرلینڈ	ireland:3
آئرن	iron:4	aairan:1	airan:1	ayron:1
آئزک	aaizak:1	aazak:1	aijak:1	aizak:1
آئس	ice:4	aais:1
آئل	oil:3	aael:1	oyil:1	oyl:1
آئلینڈ	island:2	iland:1
آئن	aaen:1	aain:1	aan:1	aayen:1
آئند	aaeendaa:1	aaind:1	aaindaa:1	aanad:1
آئندہ	aaendah:2	aaindah:2	aainda:1	aanendah:1
آئنسٹائن	einstein:4	ainstein:1	ayinstayin:1
آئنہ	aaina:3	aina:2	aaena:1	aayina:1
آئي	aai:2	aayi:1	eye:1
آئيں	aayen:2	aayin:2	aayeen:1	eye:1
آئٹم	eyetem:1	itam:1	item:1
آئٹمز	items:3
آئی	aai:3	ayi:3	aaee:2	aaei:1
آئیا	aaya:1	aayah:1	aayea:1	aayeya:1
آئیفا	aaeefa:1	aaifa:1	aaifaa:1	ifa:1
آئین	aayeen:2	aaieen:1	aaoin:1	aayean:1
آئینوں	aayeenon:1	aayinon:1	ainon:1	ainun:1
آئینِ	aaeene:1	aayeenee:1	aayeeni:1	aayeni:1
آئینگے	aayenge:2	aayinge:1	ayenge:1	ayengee:1
آئینہ	aaina:2	aaena:1	aaiinah:1	aainah:1
آئینی	aaini:3	aayini:2	aini:2	aaeeni:1
آئینے	aaiyene:1	aaiyine:1	ainay:1	ayinay:1
آئیوری	aaeyury:1	aiyoure:1	aiyouri:1	aiyuri:1
آئیڈل	idol:2	aaidl:1	aaidol:1	ideal:1
آئیڈیا	idea:3	aidea:1	ayediya:1	idia:1
آئیڈیل	ideal:3	aaeidial:1	idile:1	idle:1
آئیگا	aayega:2	aayeiga:1	aayiga:1	aiga:1
آئیں	aaain:1	aayen:1	aayin:1	ayen:1
آئیے	aaiye:1	aayeye:1	aayine:1	aayiye:1
آئے	aye:3	aae:2	aaye:2
آب	aab:3	ab:1
آبا	aaba:5	aabaa:2	aba:1	abaa:1
آباء	aabaa:1	aabaaa:1	aabau:1	aabua:1
آباؤ	aabao:3	aabau:1
آبائ	aabai:2	abaaee:1	abaai:1
